Index,Value,Time,Cost,Design
1,120.0,193.0,225.0,""
2,24.0,100.0,152.25,"{factor: A, size: 1, order: 1}"
3,-24.0,100.0,117.0,"{factor: A, size: 1, order: 1}{factor: B, size: 1, order: 1}"
4,-24.0,64.0,92.25,"{factor: A, size: 1, order: 1}{factor: B, size: 1, order: 2}"
5,39.2,100.0,140.5,"{factor: A, size: 1, order: 1}{factor: B, size: 2, order: 1}"
6,-19.2,76.0,100.5,"{factor: A, size: 1, order: 1}{factor: B, size: 2, order: 1}{factor: B, size: 1, order: 2}"
7,63.6,148.0,194.5,"{factor: A, size: 1, order: 1}{factor: B, size: 2, order: 1}{factor: R, size: 1, order: 1}"
8,19.6,124.0,160.5,"{factor: A, size: 1, order: 1}{factor: B, size: 2, order: 1}{factor: R, size: 1, order: 2}"
9,39.2,88.0,132.25,"{factor: A, size: 1, order: 1}{factor: B, size: 2, order: 2}"
10,-19.2,64.0,92.25,"{factor: A, size: 1, order: 1}{factor: B, size: 2, order: 2}{factor: B, size: 1, order: 3}"
11,15.6,106.0,162.25,"{factor: A, size: 1, order: 1}{factor: B, size: 2, order: 2}{factor: R, size: 1, order: 2}"
12,19.6,106.0,152.25,"{factor: A, size: 1, order: 1}{factor: B, size: 2, order: 2}{factor: R, size: 1, order: 3}"
13,66.0,124.0,179.25,"{factor: A, size: 1, order: 1}{factor: R, size: 1, order: 1}"
14,44.6,124.0,179.25,"{factor: A, size: 1, order: 1}{factor: R, size: 1, order: 1}{factor: B, size: 2, order: 2}"
15,42.0,112.0,167.25,"{factor: A, size: 1, order: 1}{factor: R, size: 1, order: 2}"
16,20.6,112.0,167.25,"{factor: A, size: 1, order: 1}{factor: R, size: 1, order: 2}{factor: B, size: 2, order: 3}"
17,95.2,162.0,200.75,"{factor: A, size: 2, order: 1}"
18,47.2,100.0,152.25,"{factor: A, size: 2, order: 1}{factor: A, size: 1, order: 2}"
19,-19.2,88.0,108.75,"{factor: A, size: 2, order: 1}{factor: A, size: 1, order: 2}{factor: B, size: 1, order: 2}"
20,-19.2,64.0,92.25,"{factor: A, size: 2, order: 1}{factor: A, size: 1, order: 2}{factor: B, size: 1, order: 3}"
21,48.0,96.0,137.75,"{factor: A, size: 2, order: 1}{factor: A, size: 1, order: 2}{factor: B, size: 2, order: 2}"
22,-16.0,72.0,97.75,"{factor: A, size: 2, order: 1}{factor: A, size: 1, order: 2}{factor: B, size: 2, order: 2}{factor: B, size: 1, order: 3}"
23,54.66666666666667,136.0,183.75,"{factor: A, size: 2, order: 1}{factor: A, size: 1, order: 2}{factor: B, size: 2, order: 2}{factor: R, size: 1, order: 2}"
24,24.0,120.0,157.75,"{factor: A, size: 2, order: 1}{factor: A, size: 1, order: 2}{factor: B, size: 2, order: 2}{factor: R, size: 1, order: 3}"
25,48.0,88.0,132.25,"{factor: A, size: 2, order: 1}{factor: A, size: 1, order: 2}{factor: B, size: 2, order: 3}"
26,-16.0,64.0,92.25,"{factor: A, size: 2, order: 1}{factor: A, size: 1, order: 2}{factor: B, size: 2, order: 3}{factor: B, size: 1, order: 4}"
