value,time,cost
0.0,193.0,225.0
-1.0,100.0,152.25
-0.25,100.0,117.0
-1.25,64.0,92.25
-0.125,100.0,140.5
-0.375,76.0,100.5
-0.05555555555555555,148.0,194.5
-0.18055555555555555,124.0,160.5
-1.125,88.0,132.25
-1.375,64.0,92.25
-1.0555555555555556,106.0,162.25
-1.1805555555555556,106.0,152.25
-0.25,124.0,179.25
-0.3055555555555556,124.0,179.25
-1.25,112.0,167.25
-1.3055555555555556,112.0,167.25
-0.5,162.0,200.75
-1.5,100.0,152.25
-0.75,88.0,108.75
-1.75,64.0,92.25
-0.625,96.0,137.75
-0.875,72.0,97.75
-0.5555555555555556,136.0,183.75
-0.6805555555555556,120.0,157.75
-1.625,88.0,132.25
-1.875,64.0,92.25
-1.5555555555555556,106.0,162.25
-1.6805555555555556,106.0,152.25
-0.75,120.0,175.25
-0.8055555555555556,120.0,175.25
-1.75,112.0,167.25
-1.8055555555555556,112.0,167.25
-0.125,162.0,125.0
-0.375,106.0,93.0
-0.05555555555555555,210.0,179.0
-0.18055555555555555,190.0,141.0
-0.625,156.0,122.75
-0.5555555555555556,196.0,168.75
-0.6805555555555556,184.0,138.75
-0.0625,162.0,175.5
-0.1875,102.0,137.5
-0.3125,94.0,103.5
-0.11805555555555555,142.0,173.5
-0.24305555555555555,126.0,157.5
-0.1875,158.0,123.5
-0.11805555555555555,198.0,159.5
-0.24305555555555555,186.0,139.5
-0.027777777777777776,186.0,202.5
-0.08333333333333333,154.0,190.5
-0.08333333333333333,202.0,178.5
-0.09027777777777778,182.0,193.5
-0.5625,160.0,174.75
-0.6875,156.0,122.75
-0.8125,92.0,102.75
-0.9375,100.0,90.75
-0.6180555555555556,196.0,158.75
-0.7430555555555556,184.0,138.75
-0.5277777777777778,180.0,197.75
-0.5833333333333334,196.0,173.75
-0.5902777777777778,180.0,192.75
-0.6180555555555556,140.0,172.75
-0.6458333333333334,148.0,180.75
-0.125,174.0,214.25
-0.375,126.0,181.25
-0.18055555555555555,142.0,192.25
-0.4305555555555556,126.0,181.25
-0.18055555555555555,198.0,178.25
-0.1527777777777778,182.0,202.25
-0.20833333333333334,198.0,178.25
-0.625,172.0,212.25
-0.6805555555555556,196.0,176.25
-0.6527777777777778,180.0,200.25
-0.6805555555555556,140.0,190.25
-0.7083333333333334,148.0,188.25
-0.7083333333333334,196.0,176.25
-1.0,193.0,129.0
-1.25,109.0,81.0
-1.125,165.0,113.0
-1.375,109.0,81.0
-1.0555555555555556,207.0,137.0
-1.1805555555555556,193.0,129.0
-0.25,217.0,156.0
-0.3055555555555556,217.0,156.0
-1.25,214.0,141.0
-1.3055555555555556,214.0,141.0
-0.5,193.0,193.0
-0.625,103.0,136.0
-0.75,103.0,105.0
-0.5555555555555556,151.0,180.0
-0.6805555555555556,127.0,156.0
-0.5625,163.0,174.0
-0.6875,103.0,136.0
-0.8125,95.0,102.0
-0.9375,79.0,96.0
-0.6180555555555556,143.0,172.0
-0.7430555555555556,127.0,156.0
-0.625,163.0,121.0
-0.875,107.0,89.0
-0.5555555555555556,211.0,165.0
-0.6805555555555556,191.0,137.0
-0.5277777777777778,187.0,196.0
-0.5833333333333334,155.0,184.0
-0.5902777777777778,183.0,192.0
-0.6180555555555556,199.0,158.0
-0.6458333333333334,199.0,168.0
-1.5,193.0,129.0
-1.75,109.0,81.0
-1.625,165.0,113.0
-1.875,109.0,81.0
-1.5555555555555556,207.0,137.0
-1.6805555555555556,193.0,129.0
-0.75,217.0,151.0
-0.8055555555555556,217.0,151.0
-1.75,214.0,141.0
-1.8055555555555556,214.0,141.0
-0.125,205.0,206.5
-0.18055555555555555,157.0,188.5
-0.1527777777777778,189.0,200.5
-0.20833333333333334,157.0,188.5
-0.18055555555555555,213.0,174.5
-0.375,217.0,158.5
-0.4305555555555556,217.0,158.5
-0.625,205.0,204.0
-0.6805555555555556,157.0,186.0
-0.6527777777777778,189.0,198.0
-0.7083333333333334,157.0,186.0
-0.6805555555555556,213.0,172.0
-0.7083333333333334,205.0,174.0
-1.0,199.0,231.75
-1.25,127.0,182.25
-1.0555555555555556,151.0,198.75
-1.3055555555555556,127.0,182.25
-1.125,175.0,215.25
-1.375,127.0,182.25
-1.1805555555555556,143.0,193.25
-1.4305555555555556,127.0,182.25
-1.0555555555555556,211.0,183.75
-1.1805555555555556,199.0,179.25
-1.0277777777777777,187.0,204.75
-1.0833333333333333,155.0,192.75
-1.0833333333333333,203.0,180.75
-1.1527777777777777,183.0,203.25
-1.2083333333333333,199.0,179.25
-1.25,217.0,159.75
-1.3055555555555556,217.0,159.75
-1.125,205.0,207.75
-1.1805555555555556,157.0,189.75
-1.1527777777777777,189.0,201.75
-1.2083333333333333,157.0,189.75
-1.1805555555555556,213.0,175.75
-1.375,217.0,159.75
-1.4305555555555556,217.0,159.75
